,TESTO,DOPPIE,INV. OMIS. INS. LETT/SILL,FUS./SEP ILL.,SCAMBIO OMOF.,H,ACCENTI
10," Caro diario è molto tempo che non ci sentiamo, ho molte cose da dirti. Il giorno 5 gennaio sono diventata la migliore amica di Alice una mia compagnia di classe, lei è molto speciale Perché mi ha sempre aiutata quando avevo bisogno di qualcuno. Ora ti racconto come siamo diventate migliori amiche. Tutto iniziò il primo giorno di scuola, mi sono seduta all’ultimo banco a sinistra e ero un po’ nervosa, quando arrivò una ragazza che si mise vicino a me, abbiamo cominciato a conoscerci e raccontandoci cose fra noi. Il giorno dopo ci siamo salutate e abbiamo parlato un po’, gli volevo raccontare di una mia amica che ci avevo litigato e che non sapevo come fare così lei mi aiutò. Passarono i mesi, io e Alice diventammo inseparabili e ci aiutammo a vicenda, quando una nostra amica ci separò per una cosa inventata. Dopo un po’ di giorni io e Alice ci eravamo chiarite e ridiventammo migliori amiche fino a ora. Non ti ho raccontato tutto perché sarebbe un libro, o ancora molte cose da raccontarti, la prossima volta ti racconterò più cose. Ciao diario spero di rivederti il più presto possibile dalla tua Rosa.",0,0,0,0,1,0
11," Mi hanno detto di scriverti una lettera. Caro amico mio ti volevo dire che non devi aver paura dei temi. L'importante è che segui i consigli della maestra e vedrai che non avrai problemi. Non mi ricordo tutti i temi che ho fatto però sono sicuro che ti piacerà farli. Per fare un bel tema devi fare pochi errori grammaticali, utilizzare la punteggiatura e fare frasi con un senso logico. Non mi ricordo come la maestra correggieva  però basta seguire i suggerimenti e andrà tutto liscio, infatti io, seguendo i suoi consigli posso fare i temi. Ti do un consiglio: cerca di goderti questo ultimo anno perché lo anno prossimo sarà un po più difficile. Ciao, Ciao.",0,0,0,0,0,0
12," Il dolore più grande che ho avuto in vita mia fino ad ora è stato quando è morto mio nonno Michele… Era mercoledì 3 Novembre di circa 3 anni fa mia madre l’ha saputo circa un’ora dopo verso le sei di mattina. Per dircelo a me mia sorella e mio padre si è messa al centro in mezzo a tutte le camere dicendo: «Nonno Michele è morto! Nonno Michele è morto» Io pensavo che stessi sognando e all’inizio non ci feci caso… però dopo con un balzo mi alzai rendendomi conto di quello che stava dicendo mai madre. Non dissi un a parola per un bel po’ di tempo e rimasi lì immobile cercando di capire meglio la faccenda. Quando tutta la famiglia si era un po’ tranquillizzata si è riunita in salotto a parlare a parlare e a far uscire una, due, tre o quattro lacrime. Non mi ricordo bene se il giorno dopo ci fu il funerale, io , mia sorella e i nostri cugini prima di andare in chiesa lo abbiamo visto là, nella tomba, prima che venisse chiusa, era freddo, molto freddo ed era molto pallido. ",0,0,0,0,0,0
13," Cara Francesca,                                                                                        Roma, 03-06-2013       io  non avevo molta esperienza nei compiti scritti, ma ero più brava quando mi interrogava perché ero più sicura di me e anche perché quando non mi ricordavo  qualcosa la maestra mi dava una mano cioè continuava lei un pezzo poi io me lo ricordavo e lo continuavo io fino alla fine. Avevo anche molta difficoltà a scrivere perché siccome io sono straniera non  sapevo dove mettere le doppie e anche come si scriveva alcune parole.  Infatti quando facevamo la verifica la maestra stava sempre vicino a me e mi correggeva quando sbagliavo a scrivere una parola. Quando facevamo il compito mi piaceva tanto quando si doveva parlare degli Egizi oppure quando dovevamo coniugare qualche verbo.  Visto tutto quello che ti ho raccontato; i miei consigli sono di studiare bene se hai un compito o un’interrogazione, di comportarti bene e di fare sempre i compiti.                                                                                                                                   Ti saluto                                                                                                                                                    Alexandrina ",0,0,0,0,0,0
14," Caro, Giacomo sabato e domenica siamo andati a giocare a pallone, quando giochiamo arrivano sempre altri ragazzi, noi ci svidiamo a calcio e chi vince prende il campo. Io e Giacomo e Matteo vinciamo sempre ma abbiamo perso solo una volta. Abbiamo perso perché io ero infortunato al ginocchio. Abbiamo perso 10 a 5 una volta ci siamo scomessi la nostra vita perché se perdevamo facevamo la risa all’ultimo minuto cera calcio di rigore nostro perché un ragazzo ha fatto una scivolata da dietro quello che batte il calcio di rigore era io “ ecco Gabriele batte il calcio di rigore e far palo ma di Bongianni Gabriele. Bongianni Gabriele e i sfidanti sene andarono via tutti ofesi e tristi. ",3,12,1,0,0,0
15," Alcune volte nei videogiochi ci può essere anche un litigio. Ogni volta hai anche un amico che ti dice cosa devi fare e lì può scatenare un litigio, ci sono anche dei ragazzi che non sanno giocare e alcuni amici lo prendono in giro. Oppure quando perdi un livello c’è una reazione di rabbia e alcune volte la sfoghi con un tuo amico che sta li con te. Poi ci sono anche altri aspetti negativi tipo: quando un genitore vuol far felice un figlio/a e non puo cerca in tutti i modi per farlo anche quando la playstation costa tanto. Il genitore cerca comunque di prenderla. Insieme al Joystick e i giochi. Alcune volte quando passi tanto tempo davanti alla playstation può causare attacchi epilettici e altre malattie gravi. Ci si mettono anche gli adulti; quando non hanno un lavoro e non hanno una vita. In alcuni giochi ci sono anche i telecomandi che servono per farti entrare nel personaggio, alcuni ragazzi prendono troppo sul serio e fanno finta di essere il giocatore e spaccano tutto dentro casa e i genitori lo portano da uno psichiatra. Per me i videogiochi fanno perdere la socialità tra di noi e a volte causano gravi problemi mentali.",0,0,0,0,0,0
16," Questo campo scuola lo racconterò con delle parole-chiave che ricostruiscono tutti i momenti belli passati con i miei compagni. Incontro, l’unico termine per descrivere il giorno di partenza. È stato un incontro bellissimo tutti ci abbracciavamo, salutavamo e quando siamo entrati nel pullman abbiamo conosciuto  i nostri nuovi amici ovvero le tre persone che ci avrebbero accompagnato in questo lungo viaggio nelle rovine delle Marche.  Tranquillità, una parola che possa descrivere i momenti dove ci riposavamo, quando noi o i professori leggevano le poesie collegate alle giornate oppure quando le guide ci spiegavano come si sarebbe svolta la giornata. La tranquillità ci ha accompagnato in ogni viaggio; quando passavamo accanto ad un albero vedevamo le foglie muoversi, quella era la tranquillità che insieme al vento dava vita ad ogni  cosa che la circondavano. Fatica, unico termine che rappresenta i momenti dove dovevamo camminare tanto, ma la fatica non rappresentava la noia ma rappresentava la forza che c’era in noi, quel forte dovere di arrivare fino in fondo. Anche se era molto faticoso noi non ci arrendevamo mai c’era sempre qualcuno al nostro fianco quindi posso dire che la fatica non è un insieme di goccioline che cadono dalla testa, ma la fatica è la forza e il piacere di scoprire nuove cose. Divertimento, questa è una parola con un grande significato cioè la gioia che c’era in noi. Divertimento sono tutti quei momenti dove giocavamo insieme. Questo termine che ho scelto mi ha accompagnata in ogni viaggio soprattutto quando siano andati al  Museo della Scienza dove ci scatenavamo a provare tutte le cose con uno scopo scientifico. Posso dire che “toccare”era la nostra passione e la cosa che ci riusciva meglio. Curiosità, un termine molto complesso che rappresenta i momenti dove le domande si impossessavano di noi. La curiosità era anche quella grande voglia di scoprire cosa le programmavano le guide oppure anche quando volevamo sapere i risultati della “Caccia al territorio” a Corinaldo. Queste sono le mie cinque parole che mi hanno accompagnato durante il campo scuola. Incontro lo collocherei al primo giorno dove prevale anche l’emozione. La Fatica prevale nel terzo giorno quando siamo andati a San Leo. Tranquillità la affido al pomeriggio del terzo giorno quando siamo andati al Parco e ci siamo sentiti liberi di fare quello che il cuore ci diceva. Curiosità la collocherei nel primo giorno nelle grotte di Frasassi dove mi hanno colpito molto, grazie alla loro bellezza e storia. Infine il divertimento raggruppa tutte queste parole in un involucro di gioia. ",0,0,0,0,0,0
17,"  Quest’anno scolastico è iniziato con forza. È iniziato con convinzione, con coraggio, con volontà, è iniziato con pazienza da parte di tutti: Da parte degli insegnanti e da parte nostra. Sentivo e sento una forza, una volontà di andare avanti, di conoscere, di sapere, che l’anno scorso non sentivo. Sento che siamo una classe unita e che possiamo fare tante cose. Dal 13 settembre abbiamo vissuto già esperienze bellissime e animate. Penso, da come ho visto, che ci siamo divertiti tutti, con la mostra “L’età dell’equilibrio” a teatro a vedere “Nuts” e “Moby Dick”. Sono tutte esperienze belle e istruttive. Non vedo l’ora, poi, di andare a teatro a vedere “Brumlibar” e di andare al cinema. Questa scuola mi piace tantissimo, mi piace l’organizzazione e le volontà di far imparare facendo visitare, muovendosi nello spazio visto che ce n’è la possibilità. Ieri sono venuti due signori per il progetto di recitazione. Secondo me è un’idea bellissima, magari non troppo originale. Con quei due attori accanto non mi sono vergognata affatto, stranamente. Credo di essere andata abbastanza bene, ma sicuramente meglio della volta precedente. Riguardo alle esperienze non materiali, come le gite, ma a quelle delle emozioni, sento di provare felicità quando prendo dei 8 o addirittura 9  ½. Mi sento soddisfatta. Provo però anche rimorso quando prendo 6, 6 ½ , di non aver saputo dare il meglio di me e questo mi fa rabbia che però mi insegna che però mi insegna a saperlo dare nelle esperienze che verranno. Infine l’ultima e più grande emozione che sento è l’orgoglio, l’orgoglio di poter dire “Sono in prima media”. È l’orgoglio che si prova dopo aver salito tutti questi cinque gradini che forse tra un po’ diventeranno sei. È l’orgoglio di essere arrivata fin qui con tanta volontà e tanto impegno.",0,0,0,0,0,0
18,"  Caro amico della quarta, la quinta sarà un po’ più difficile perché ti devi preparare per crescere quindi ci saranno più temi e, se scriverai male le parole, dovrai riscriverle 30 o 50 volte in base all’errore che hai compiuto, o farci sette o otto frasi. Quando sono uscita da scuola l’ultimo giorno, è stato bruttissimo perché sentivo che qualcosa stava finendo e che il mondo si stava ribaltando perché da quel momento tutto sarebbe cambiato. Goditi tutto l’anno e non pensare a ciò che ti succederà poi, perché se no dopo ti sentirai in colpa. I miei compiti di scrittura sono stati difficili anche perché alcuni erano poesie, e io non sono mai stata brava ad inventarle. Gli ultimi tre giorni di scuola io non li ho mai vissuti interamente e spero che a te non succeda la stessa cosa. In quei tre giorni però mi sono resa conto che non sono mai riuscita a capire ciò che ci stavano dando le maestre e quindi non l’ho apprezzato, tu devi fare l’esatto opposto, devi capire che tutto ciò che ti danno ha un valore, anche la cosa più piccola che ti sembra insignificante. Ogni volta che scrivevo temi, dettati o compiti, la mia maestra mi diceva di scrivere chiaro e leggibile perché fin dalla prima elementare io non ho mai scritto con una bella calligrafia. Io non ho mai capito come ci correggevano i compiti in classe ma so come correggevano i compiti per casa perché li correggevamo insieme come tutti gli anni e cioè correggere gli errori con la penna rossa e scrivere sotto C. c. cioè Corretto in classe. Per me la quinta è stata un’esperienza unica ed un viaggio indimenticabile, ma è stata anche difficile perché dopo mi aspettava una cosa nuova e difficile: crescere. Spero che seguirai tutti i miei consigli e ricorda che la paura è una cosa psicologica e che ti basta dire > e tutta la tua paura svanirà, credi in te e niente andrà male perché soltanto te puoi inventarti la paura.",0,0,0,0,0,0
19," Io mi immaggino le mie vacanze molto divertenti con le persone che ridono e si divertono era molto bella la Spagna perché ci sono i matador, i tori e soprattutto, le statuette di cristallo che sono molto belle speriamo che un toro non mi pigli per le mutande. Quando io vedo un toro penso sempre alla Spagna. La Spagna e molto bella soprattutto perché ha dei balli molto belli e perché cèil flamenco e il tango. Evviva la Spagna!",1,0,1,0,0,0
20," Adesso proverò a descrivere campo scuola in parole chiave:  amicizia: ho conosciuto molti compagni nuovi della 2°a ed ho conosciuto meglio alcuni compagni della mia classe. Divertimento: mi sono divertito molto a giocare con i miei compagni e con i nostri animatori. Mi sono anche divertito vedendo i posti che non avevo mai visitato prima di allora e giocando diversamente dal solito. Quando giocavamo a calcio mi divertivo molto a parare e a fare il portiere, parando tiri, per i miei compagni di squadra, molto difficili, ho perfino parato un rigore. Emozionante: questo per me è stato il primo camposcuola della mia vita e mi sono emozionato per le tantissime avventure ed esperienze nuove che ho vissuto con i miei compagni. Impressionante: è stato impressionante vedere tutte quelle cittadine feudali con delle costruzioni veramente enormi: con le mura, i castelli. Altro di impressionante sono i grandi palazzi e le lotte fra famiglie ducali, tipo Malatesta contro Montefeltro. Inoltre ogni palazzo e cittadino raccontano una storia lunghissima. Famiglie ducali: ogni posto che visitavamo, nell’età feudale, apparteneva ad una famiglia ducale, oggi sono considerati come museo. Animatori: due animatori, Gianluca (Jhonny Depp) ed Emanuela, ci hanno accompagnato insieme al gigante di Carmine, l’autista, in ogni posto rendendoli magici ed unici. Museo: ogni posto che visitavamo Urbino, Carinaldo, Jesi, Balì, S. Leo e Gradara avevano fortezze tramutate in musei, tranne a Balì che era un vero e proprio museo. Tortura: ogni castello aveva tante torture per far subire ai non seguenti della legge. Castello: molti posti che abbiamo visitato avevano un castello, a Gradara il castello era cinto da mura, e aveva un ponte levatoio e un fossato. S. Leo aveva una rocca altissima ed era cinto da mura. A Jesi non c’era il castello, o almeno non avevamo, ma c’era il palazzo delle signorie. Natura: ogni pomeriggio visitavamo molti posti belli e divertenti, naturali, e quindi parchi dove, almeno io, mi sentivo libero.  Strategia: ogni paesino era situato in posti strategici, tranne Jesi, che però aveva il muro a scarpa, però tutti avevano le mura e alcuni un ponte levatoio e un fossato, poi alcuni avevano una doppia mura. Musica: la musica ci ha accompagnato in tutto il viaggio. Impazienza: molti alunni erano molto impazienti perché volevano arrivare sempre.",0,0,0,0,0,0
21," Caro amico Tommaso, Fino alla quarta elementare, io ho avuto una maestra che preferiva la storia all’italiano. Infine, al termine del mio quarto anno di elementari, la mia maestra: è andata in pensione. Eravamo tutti tristi perché era un’ottima insegnante ed era molto paziente e gentile. Alle 8:30 del primo giorno della quinta elementare, avevo paura come te ed ero pensieroso. Cercavo di immaginarmi quale maestra si trovasse ora dietro la cattedra. Ad un tratto la campanella suonò, era il momento della verità. Entrai in classe e vidi per la prima volta la mia nuova maestra. È stato un emozionante momento; amavo tanto la mia “ex” maestra Lucia, ma dovevo essere capace di sostituirla con la “nuova” maestra Daniela. Già dalla prima settimana, la maestra, ci faceva scrivere brani di scrittura a piacere. Verso metà anno, invece, abbiamo iniziato a seguire delle tracce. Tommaso, non immagini quante difficoltà ho incontrato per non aver seguito i consigli di mia madre e delle mie maestre che mi dicevano di esercitarmi con la scrittura durante l’estate! Ma io niente, non volevo ascoltare nessuno e mi sbagliavo. Perciò, il consiglio più importante che ti posso dare è quello di seguire i suggerimenti delle persone più grandi e più intelligenti di te. Ti raccomando di stare molto attento alla maestra Rina con gli errori di ortografia! Non ti riferisco la punizione che dà davanti ad un accento errato o davanti alla parola “Dettato” scritta con una “T” solo perché senò cambieresti scuola all’istante, ma non farti spaventare da questo! Quando ero in quinta elementare, amavo svolgere i temi fantasiosi, di azione e di suspance (amavo molto inserire nel testo i puntini sospensivi). Non mi piacevano, invece, i temi in cui dovevi raccontare un’esperienza o descrivere una persona. Purtroppo, ti devi accontentare di tutti i tipi di temi perché a volte sei fortunato e ti capitano le tracce che preferisci, altre no e ti tocca di giocare con la fantasia. Man mano che l’anno passa, acquisterai più sicurezza e riuscirai a scrivere qualunque tema, di qualsiasi tipo. Spero che i miei consigli ti saranno utili e che riuscirai a sfruttarli al meglio. Con Affetto Gaetano ",0,0,0,0,0,0
22," Cara Aurora, non so se avete già fatto un compito di italiano in quarta ma io, pur avendo 4 ore di italiano al giorno, non ne abbiamo fatto neanche uno anche se lei diceva sempre che ne avremmo svolto sicuramente uno in settimana solo per far studiare chi non studiava! Devi sapere che questa maestra ha dei modi di fare un po’ strani come hai potuto vedere negli anni passati con lei. Però lei è molto buona e non mette mai note a meno che non si arrabbi tantissimo. Lei in, quinta soprattutto, tende ad abbassare i voti anche per non far prendere un colpo agli alunni quando vedranno i voti delle medie. Mi sarebbe piaciuto fare u n compito di italiano sia per essere più preparata per andare alle medie sia per migliorare in quell’anno le cose in qui andavo peggio. La maestra avrebbe dovuto, inoltre, se nei temi che facevamo c’erano: le idee, la coerenza con il titolo, il contenuto,.. e soprattutto la grafia! Perché c’era chi scriveva bene e chi male tra cui io che poi ho iniziato a scrivere meglio grazie a vari consigli che lei diceva un po’ a tutta la classe: “…dovete scrivere ordinati e per farlo dovete scrivere lentamente e pensando a ciò che scrivevamo…”, non so come scrivi ma se scrivi male cerca di strutturare bene il testo e  arricchisci il contenuto. Ti informo che i testi che noi facevamo li facevamo solo per punizione ma la cosa buona è che gli argomenti li sceglievamo noi e potevamo scegliere tra fantascienza, avventura, paura... e non importava se era lungo o corto e tra l’altro neanche celi correggeva ma non ci faceva neanche esercitare in classe o a casa, ma non ti preoccupare se gli chiedi qualcosa lei ti risponde sempre e se durante le spiegazioni non capisci qualcosa lei te lo rispiega fino alla nausea. Ti consiglio di studiare sempre anche se ti ha già interrogato perché può darsi che ti richiamasse e ti becca che non hai studiato e ti mette o impreparato oppure 4. Comunque, se ti impegni, andrà tutto bene e se sei insicura domanda finche non ti risponde e, se putacaso, non vai a scuola fatti spiegare la lezione e dare i compiti e avvisi da qualcuno che sta sempre attento, ti auguro buona fortuna. Baci e abbracci. ",0,4,0,0,0,0
